Index,Vis,ReportedPercent
437,StackedBarChart5,10.0
438,StackedBarChart5,40.0
439,StackedBarChart5,80.0
440,StackedBarChart5,50.0
441,StackedBarChart5,40.0
442,StackedBarChart5,78.0
443,StackedBarChart5,60.0
444,StackedBarChart5,50.0
445,StackedBarChart5,50.0
446,StackedBarChart5,40.0
447,StackedBarChart5,33.0
448,TreeMap2,40.0
449,TreeMap2,50.0
450,TreeMap2,30.0
451,TreeMap2,25.0
452,TreeMap2,50.0
453,TreeMap2,50.0
454,TreeMap2,50.0
455,TreeMap2,70.0
456,TreeMap2,30.0
457,TreeMap2,40.0
458,TreeMap2,30.0
459,TreeMap2,30.0
460,TreeMap2,25.0
461,TreeMap2,10.0
462,TreeMap2,56.0
463,TreeMap2,50.0
464,StackedBarChart7,15.0
465,StackedBarChart7,70.0
466,StackedBarChart7,70.0
467,StackedBarChart7,80.0
468,StackedBarChart7,80.0
469,StackedBarChart7,80.0
470,StackedBarChart7,80.0
471,StackedBarChart7,10.0
472,StackedBarChart7,50.0
473,StackedBarChart7,50.0
474,StackedBarChart7,60.0
475,DonutChart5,80.0
476,DonutChart5,75.0
477,DonutChart5,90.0
478,DonutChart5,50.0
479,DonutChart5,45.0
480,DonutChart5,30.0
481,DonutChart5,70.0
482,DonutChart5,100.0
483,DonutChart5,80.0
484,DonutChart4,50.0
485,DonutChart4,40.0
486,DonutChart4,50.0
487,DonutChart4,85.0
488,DonutChart4,46.0
489,DonutChart4,50.0
490,DonutChart4,50.0
491,DonutChart2,100.0
492,DonutChart2,60.0
493,DonutChart2,80.0
494,DonutChart2,55.0
495,DonutChart2,95.0
496,DonutChart2,75.0
497,DonutChart2,23.0
498,DonutChart2,80.0
499,DonutChart2,80.0
500,DonutChart2,90.0
501,DonutChart2,70.0
502,DonutChart2,20.0
503,DonutChart2,85.0
504,DonutChart2,80.0
505,StackedBarChart3,50.0
506,StackedBarChart3,30.0
507,StackedBarChart3,60.0
508,StackedBarChart3,10.0
509,StackedBarChart3,89.0
510,StackedBarChart3,20.0
511,StackedBarChart3,30.0
512,StackedBarChart3,50.0
513,StackedBarChart3,86.0
514,StackedBarChart3,40.0
515,TreeMap6,40.0
516,TreeMap6,70.0
517,TreeMap6,55.0
518,TreeMap6,80.0
519,TreeMap6,45.0
520,TreeMap6,89.0
521,TreeMap6,60.0
522,TreeMap6,70.0
523,TreeMap6,80.0
524,TreeMap6,40.0
525,TreeMap6,50.0
526,TreeMap6,80.0
527,TreeMap6,80.0
528,TreeMap6,50.0
529,DonutChart11,33.0
530,DonutChart11,40.0
531,DonutChart11,40.0
532,DonutChart11,50.0
533,DonutChart11,35.0
534,DonutChart11,33.0
535,DonutChart11,30.0
536,DonutChart11,33.0
537,DonutChart11,3.0
538,DonutChart11,40.0
539,DonutChart8,100.0
540,DonutChart8,90.0
541,DonutChart8,60.0
542,DonutChart8,30.0
543,DonutChart8,80.0
544,DonutChart8,95.0
545,DonutChart8,23.0
546,DonutChart8,90.0
547,DonutChart8,80.0
548,StackedBarChart11,50.0
549,StackedBarChart11,50.0
550,StackedBarChart11,50.0
551,StackedBarChart11,15.0
552,StackedBarChart11,50.0
553,StackedBarChart11,58.0
554,StackedBarChart11,50.0
555,PieChart3,90.0
556,PieChart3,35.0
557,PieChart3,60.0
558,PieChart3,33.0
559,PieChart3,70.0
560,PieChart3,30.0
561,PieChart3,37.0
562,TreeMap3,35.0
563,TreeMap3,78.0
564,TreeMap3,25.0
565,TreeMap3,35.0
566,TreeMap3,25.0
567,TreeMap3,30.0
568,TreeMap3,89.0
