Index,Vis,ReportedPercent,TruePercent,Error
427,DonutChart10,80.0,75,2.36
428,DonutChart10,70.0,75,2.36
429,DonutChart10,75.0,75,0.0
430,DonutChart10,45.0,75,4.91
431,DonutChart10,80.0,75,2.36
432,DonutChart10,70.0,75,2.36
433,DonutChart10,50.0,75,4.65
434,DonutChart10,20.0,75,5.78
435,DonutChart10,80.0,75,2.36
436,DonutChart10,70.0,75,2.36
437,StackedBarChart5,10.0,50,5.33
438,StackedBarChart5,40.0,50,3.34
439,StackedBarChart5,80.0,50,4.91
440,StackedBarChart5,50.0,50,0.0
441,StackedBarChart5,40.0,50,3.34
442,StackedBarChart5,78.0,50,4.81
443,StackedBarChart5,60.0,50,3.34
444,StackedBarChart5,50.0,50,0.0
445,StackedBarChart5,50.0,50,0.0
446,StackedBarChart5,40.0,50,3.34
447,StackedBarChart5,33.0,50,4.1
448,TreeMap2,40.0,50,3.34
449,TreeMap2,50.0,50,0.0
450,TreeMap2,30.0,50,4.33
451,TreeMap2,25.0,50,4.65
452,TreeMap2,50.0,50,0.0
453,TreeMap2,50.0,50,0.0
454,TreeMap2,50.0,50,0.0
455,TreeMap2,70.0,50,4.33
456,TreeMap2,30.0,50,4.33
457,TreeMap2,40.0,50,3.34
458,TreeMap2,30.0,50,4.33
459,TreeMap2,30.0,50,4.33
460,TreeMap2,25.0,50,4.65
461,TreeMap2,10.0,50,5.33
462,TreeMap2,56.0,50,2.61
463,TreeMap2,50.0,50,0.0
464,StackedBarChart7,15.0,75,5.91
465,StackedBarChart7,70.0,75,2.36
466,StackedBarChart7,70.0,75,2.36
467,StackedBarChart7,80.0,75,2.36
468,StackedBarChart7,80.0,75,2.36
469,StackedBarChart7,80.0,75,2.36
470,StackedBarChart7,80.0,75,2.36
471,StackedBarChart7,10.0,75,6.03
472,StackedBarChart7,50.0,75,4.65
473,StackedBarChart7,50.0,75,4.65
474,StackedBarChart7,60.0,75,3.92
475,DonutChart5,80.0,80,0.0
476,DonutChart5,75.0,80,2.36
477,DonutChart5,90.0,80,3.34
478,DonutChart5,50.0,80,4.91
479,DonutChart5,45.0,80,5.13
480,DonutChart5,30.0,80,5.65
481,DonutChart5,70.0,80,3.34
482,DonutChart5,100.0,80,4.33
483,DonutChart5,80.0,80,0.0
484,DonutChart4,50.0,60,3.34
485,DonutChart4,40.0,60,4.33
486,DonutChart4,50.0,60,3.34
487,DonutChart4,85.0,60,4.65
488,DonutChart4,46.0,60,3.82
489,DonutChart4,50.0,60,3.34
490,DonutChart4,50.0,60,3.34
491,DonutChart2,100.0,83,4.1
492,DonutChart2,60.0,83,4.53
493,DonutChart2,80.0,83,1.64
494,DonutChart2,55.0,83,4.81
495,DonutChart2,95.0,83,3.6
496,DonutChart2,75.0,83,3.02
497,DonutChart2,23.0,83,5.91
498,DonutChart2,80.0,83,1.64
499,DonutChart2,80.0,83,1.64
500,DonutChart2,90.0,83,2.83
501,DonutChart2,70.0,83,3.71
502,DonutChart2,20.0,83,5.98
503,DonutChart2,85.0,83,1.09
504,DonutChart2,80.0,83,1.64
505,StackedBarChart3,50.0,40,3.34
506,StackedBarChart3,30.0,40,3.34
507,StackedBarChart3,60.0,40,4.33
508,StackedBarChart3,10.0,40,4.91
509,StackedBarChart3,89.0,40,5.62
510,StackedBarChart3,20.0,40,4.33
511,StackedBarChart3,30.0,40,3.34
512,StackedBarChart3,50.0,40,3.34
513,StackedBarChart3,86.0,40,5.53
514,StackedBarChart3,40.0,40,0.0
515,TreeMap6,40.0,63,4.53
516,TreeMap6,70.0,63,2.83
517,TreeMap6,55.0,63,3.02
518,TreeMap6,80.0,63,4.1
519,TreeMap6,45.0,63,4.18
520,TreeMap6,89.0,63,4.71
521,TreeMap6,60.0,63,1.64
522,TreeMap6,70.0,63,2.83
523,TreeMap6,80.0,63,4.1
524,TreeMap6,40.0,63,4.53
525,TreeMap6,50.0,63,3.71
526,TreeMap6,80.0,63,4.1
527,TreeMap6,80.0,63,4.1
528,TreeMap6,50.0,63,3.71
529,DonutChart11,33.0,50,4.1
530,DonutChart11,40.0,50,3.34
531,DonutChart11,40.0,50,3.34
532,DonutChart11,50.0,50,0.0
533,DonutChart11,35.0,50,3.92
534,DonutChart11,33.0,50,4.1
535,DonutChart11,30.0,50,4.33
536,DonutChart11,33.0,50,4.1
537,DonutChart11,3.0,50,5.56
538,DonutChart11,40.0,50,3.34
539,DonutChart8,100.0,90,3.34
540,DonutChart8,90.0,90,0.0
541,DonutChart8,60.0,90,4.91
542,DonutChart8,30.0,90,5.91
543,DonutChart8,80.0,90,3.34
544,DonutChart8,95.0,90,2.36
545,DonutChart8,23.0,90,6.07
546,DonutChart8,90.0,90,0.0
547,DonutChart8,80.0,90,3.34
548,StackedBarChart11,50.0,53,1.64
549,StackedBarChart11,50.0,53,1.64
550,StackedBarChart11,50.0,53,1.64
551,StackedBarChart11,15.0,53,5.25
552,StackedBarChart11,50.0,53,1.64
553,StackedBarChart11,58.0,53,2.36
554,StackedBarChart11,50.0,53,1.64
555,PieChart3,90.0,75,3.92
556,PieChart3,35.0,75,5.33
557,PieChart3,60.0,75,3.92
558,PieChart3,33.0,75,5.4
559,PieChart3,70.0,75,2.36
560,PieChart3,30.0,75,5.5
561,PieChart3,37.0,75,5.25
562,TreeMap3,35.0,33,1.09
563,TreeMap3,78.0,33,5.5
564,TreeMap3,25.0,33,3.02
565,TreeMap3,35.0,33,1.09
566,TreeMap3,25.0,33,3.02
567,TreeMap3,30.0,33,1.64
568,TreeMap3,89.0,33,5.81
